run_at_utc,week_label,admin_name,minutes
2025-11-30T07:20:21Z,last-7d,95 | HakeRs,0
2025-11-30T07:20:21Z,last-7d,< gHo$T R1D3r=  >,0
2025-11-30T07:20:21Z,last-7d,Altair Ibn La Ahad,0
2025-11-30T07:20:21Z,last-7d,anouar,0
2025-11-30T07:20:21Z,last-7d,BaReS,0
2025-11-30T07:20:21Z,last-7d,BaRoN,0
2025-11-30T07:20:21Z,last-7d,chani,0
2025-11-30T07:20:21Z,last-7d,DS || DaWaWeeN,0
2025-11-30T07:20:21Z,last-7d,DS || fReak*,0
2025-11-30T07:20:21Z,last-7d,DS || Miladiii,0
2025-11-30T07:20:21Z,last-7d,DS || MuSTaFa,0
2025-11-30T07:20:21Z,last-7d,GuNsNGloRy | AmmaR,0
2025-11-30T07:20:21Z,last-7d,J 4 C K | R 3 4 C H 3 R,0
2025-11-30T07:20:21Z,last-7d,LeaNuX || MeMo,0
2025-11-30T07:20:21Z,last-7d,N00bie || (0-0),0
2025-11-30T07:20:21Z,last-7d,N00bie || MOUSE?,0
2025-11-30T07:20:21Z,last-7d,N00bie || WOLF,0
2025-11-30T07:20:21Z,last-7d,Noor,0
2025-11-30T07:20:21Z,last-7d,R()CK~KI||3R,0
2025-11-30T07:20:21Z,last-7d,s@bin@,0
2025-11-30T07:20:21Z,last-7d,US-B,0
2025-11-30T07:20:21Z,last-7d,what the,0
